S/N,Code,Description,Table,Classification,Cleaned_Description
230,SF802M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA (BILATERAL) REPAIR",6A,Existing,mouth angular cleft macrostomia bilateral repair
231,SF803M,"MOUTH, ANGULAR CLEFT WITH MACROSTOMIA (UNILATERAL) REPAIR",4C,Existing,mouth angular cleft macrostomia unilateral repair
232,SF804M,"MOUTH, CLEFT LIP, BILATERAL PRIMARY REPAIR",6A,Existing,mouth cleft lip bilateral primary repair
233,SF805M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION (ABBE FLAP)",6A,Existing,mouth cleft lip secondary correction abbe flap
234,SF806M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION",4A,Existing,mouth cleft lip secondary correction
235,SF807M,"MOUTH, CLEFT LIP, SECONDARY CORRECTION OF NOSTRIL/NASAL TIP",4B,Existing,mouth cleft lip secondary correction nostrilnasal tip
236,SF808M,"MOUTH, CLEFT LIP, UNILATERAL PRIMARY REPAIR",4C,Existing,mouth cleft lip unilateral primary repair
237,SF809M,"MOUTH, DISLOCATED TEETH/DENTO-ALVEOLAR FRACTURE, REDUCTION AND IMMOBILISATION",2C,Existing,mouth dislocated teethdentoalveolar fracture reduction immobilisation
238,SF825M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF MORE THAN 1 SPACE (INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",3A,New,mouth abscess deep drainage 1 space includes submasseteric submandibular temporal pterygomandibular space
239,SF811M,"ORAL CAVITY AND PHARYNX, FOREIGN BODY, REMOVAL",1B,Existing,oral cavity pharynx foreign body removal
240,SF812M,"MOUTH, INTRA ORAL TUMOUR RADICAL EXCISION WITH RESECTION OF MANDIBLE AND UNILATERAL NECK DISSECTION",6C,Existing,mouth intra oral tumour radical excision resection mandible unilateral neck dissection
241,SF813M,"MOUTH, LEUKOPLAKIA, LIMITED EXCISION",1B,Existing,mouth leukoplakia limited excision
242,SF814M,"MOUTH, LEUKOPLAKIA, WIDE EXCISION AND SKIN GRAFTING",3A,Existing,mouth leukoplakia wide excision skin grafting
243,SF815M,"MOUTH, MACROCHEILIA AND MACROGLOSSIA, RECONSTRUCTION",3A,Existing,mouth macrocheilia macroglossia reconstruction
244,SF816M,"MOUTH, MALIGNANT TUMOR, WIDE EXCISION AND MAJOR RECONSTRUCTION",6B,Existing,mouth malignant tumor wide excision major reconstruction
245,SF817M,"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH, MARSUPIALIZATION /BIOPSY",1B,Existing,mouth mucous cystranula floor mouth marsupialization biopsy
246,SF818M,"MOUTH, MUCOUS CYST/RANULA OF FLOOR OF MOUTH, EXCISION WITH/WITHOUT BIOPSY",2C,Existing,mouth mucous cystranula floor mouth excision withwithout biopsy
247,SF819M,"MOUTH, NASOLABIAL CYST, EXCISION BIOPSY",2C,Existing,mouth nasolabial cyst excision biopsy
248,SF820M,"MOUTH, ORO-ANTRAL FISTULA, REMOVAL OF TOOTH/ROOTS IN ANTRUM AND CLOSURE",3B,Existing,mouth oroantral fistula removal toothroots antrum closure
249,SF821M,"MOUTH, SMALL SOFT TISSUE TUMOR, EXCISION BIOPSY < 3CM",1B,Existing,mouth small soft tissue tumor excision biopsy 3cm
250,SF822M,"MOUTH, TUMOR, RADICAL EXCISION BIOPSY WITH RESECTION OF MANDIBLE AND LYMPH NODES AND RECONSTRUCTION",7C,Existing,mouth tumor radical excision biopsy resection mandible lymph node reconstruction
251,SF823M,"MOUTH, VARIOUS LESIONS OF ORAL MUCOSA (LARGE/MULTIPLE), CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",3B,Existing,mouth various lesion oral mucosa largemultiple cryosurgicallaser application biopsy
252,SF824M,"MOUTH, VARIOUS/PATHOLOGIC LESIONS OF ORAL MUCOSA, CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",2B,Existing,mouth variouspathologic lesion oral mucosa cryosurgicallaser application biopsy
253,SF800N,"NECK, BRANCHIAL CYST, REMOVAL WITH BIOPSY",3B,Existing,neck branchial cyst removal biopsy
254,SF801N,"NECK, BRANCHIAL FISTULA, REMOVAL",3B,Existing,neck branchial fistula removal
255,SF700P,"PANCREAS, PSEUDOCYST/ABSCESS, IMAGING GUIDED PERCUTANEOUS DRAINAGE CATHETER INSERTION",2C,Existing,pancreas pseudocystabscess imaging guided percutaneous drainage catheter insertion
256,SF701P,"PANCREAS, TRANSPLANT (DONATION - CADAVERIC DONOR)",5C,Existing,pancreas transplant donation cadaveric donor
257,SF702P,"PANCREAS, TRANSPLANT (RECIPIENT)",7C,Existing,pancreas transplant recipient
258,SF703P,"PANCREAS, VARIOUS LESIONS, DUODENUM PRESERVING PANCREATIC HEAD RESECTION (BEGER'S OPERATION)",7A,Existing,pancreas various lesion duodenum preserving pancreatic head resection begers operation
259,SF704P,"PANCREAS, VARIOUS LESIONS, DUODENUM PRESERVING PANCREATIC HEAD RESECTION WITH LONGITUDINAL PANCREATICO-ENTERIC ANASTOMOSIS (FREY'S OPERATION)",7A,Existing,pancreas various lesion duodenum preserving pancreatic head resection longitudinal pancreaticoenteric anastomosis frey operation
260,SF705P,"PANCREAS, VARIOUS LESIONS, ENUCLEATION OF LESIONS (1 TO 2)",4C,Existing,pancreas various lesion enucleation lesion 1 2
261,SF706P,"PANCREAS, VARIOUS LESIONS, ENUCLEATION OF LESIONS (3 OR MORE)",5A,Existing,pancreas various lesion enucleation lesion 3
262,SF707P,"PANCREAS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing,pancreas various lesion imaging guided percutaneous biopsy
263,SF708P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY AND SPLENECTOMY",5B,Descriptor change,pancreas various lesion distal pancreatectomy splenectomy
264,SF709P,"PANCREAS, VARIOUS LESIONS, SUBTOTAL PANCREATECTOMY (EXTENDING TO THE NECK) AND SPLENECTOMY",5C,Descriptor change,pancreas various lesion subtotal pancreatectomy extending neck splenectomy
265,SF710P,"PANCREAS, VARIOUS LESIONS, PORTAL VENOUS SAMPLING",3B,Existing,pancreas various lesion portal venous sampling
266,SF711P,"PANCREAS, VARIOUS LESIONS, SEGMENTAL PANCREATECTOMY WITH PANCREATICO-ENTERIC ANASTOMOSIS",6B,Existing,pancreas various lesion segmental pancreatectomy pancreaticoenteric anastomosis
267,SF712P,"PANCREAS, VARIOUS LESIONS, SPLEEN-PRESERVING DISTAL PANCREATECTOMY",5C,Descriptor change,pancreas various lesion spleenpreserving distal pancreatectomy
268,SF713P,"PAROTID, TOTAL PAROTIDECTOMY WITH NECK DISSECTION",6B,Existing,parotid total parotidectomy neck dissection
269,SF714P,"PAROTID, TOTAL PAROTIDECTOMY, WITH/WITHOUT PRESERVATION OF FACIAL NERVE",6A,Existing,parotid total parotidectomy withwithout preservation facial nerve
270,SF800P,"PALATE, CLEFT (COMPLETE), PRIMARY REPAIR",5C,Existing,palate cleft complete primary repair
271,SF801P,"PALATE, CLEFT (PARTIAL), PRIMARY REPAIR",4B,Existing,palate cleft partial primary repair
272,SF802P,"PALATE, CLEFT, SECONDARY REPAIR (CLOSURE OF FISTULA)",3B,Existing,palate cleft secondary repair closure fistula
273,SF803P,"PALATE, SECONDARY REPAIR (LENGTHENING PROCEDURE)",5A,Existing,palate secondary repair lengthening procedure
274,SF804P,"PALATE, CLEFT, UVULOPHARYNGOPLASTY",5C,Existing,palate cleft uvulopharyngoplasty
275,SF805P,"PANCREAS, CYST/PSEUDOCYST, DRAINAGE AND ANASTOMOSIS TO INTESTINE/STOMACH",5A,"Descriptor
change",pancreas cystpseudocyst drainage anastomosis intestinestomach
276,SF806P,"PANCREAS, TUMOUR, TRIPLE BYPASS",5C,Existing,pancreas tumour triple bypass
277,SF807P,"PANCREAS, VARIOUS LESIONS, DISTAL PANCREATECTOMY/ANASTOMOSIS OF PANCREATIC DUCT",5C,Existing,pancreas various lesion distal pancreatectomyanastomosis pancreatic duct
278,SF808P,"PANCREAS, VARIOUS LESIONS, EXTERNAL DRAINAGE (OPEN)",3B,Existing,pancreas various lesion external drainage open
279,SF809P,"PANCREAS, VARIOUS LESIONS, WHIPPLE OPERATION/TOTAL PANCREATECTOMY",7C,Existing,pancreas various lesion whipple operationtotal pancreatectomy
280,SF810P,"PHARYNX/LARYNX, PARAPHARYNGEAL SPACE TUMOR EXCISION",6A,Existing,pharynxlarynx parapharyngeal space tumor excision
281,SF811P,"PAROTID, CALCULUS (DEEP), REMOVAL",3A,Existing,parotid calculus deep removal
282,SF812P,"PAROTID, CALCULUS (SUPERFICIAL), REMOVAL",1C,Existing,parotid calculus superficial removal
283,SF813P,"PAROTID, FISTULA, REPAIR",3A,Existing,parotid fistula repair
284,SF814P,"PAROTID, TUMOR, SUPERFICIAL PAROTIDECTOMY",5C,Existing,parotid tumor superficial parotidectomy
285,SF815P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH PARAPHARYNGEAL SPACE RESECTION AND FLAP RECONSTRUCTION",7B,Existing,parotid tumor total parotidectomy parapharyngeal space resection flap reconstruction
286,SF816P,"PAROTID, TUMOUR, TOTAL PAROTIDECTOMY WITH RECONSTRUCTION FACIAL NERVE",6B,Existing,parotid tumour total parotidectomy reconstruction facial nerve
287,SF817P,"PAROTID, TUMOR, TOTAL PAROTIDECTOMY WITH RADICAL NECK DISSECTION",6B,Existing,parotid tumor total parotidectomy radical neck dissection
288,SF700R,"RECTUM, PERINEAL RECTOSIGMOIDECTOMY FOR RECTAL PROLAPSE",5C,Existing,rectum perineal rectosigmoidectomy rectal prolapse
289,SF701R,"RECTUM, RESECTION - RECTOPEXY FOR RECTAL PROLAPSE",5C,Descriptor change,rectum resection rectopexy rectal prolapse
290,SF702R,"RECTUM, STARR - STAPLED HEMORROIDECTOMY",3A,Existing,rectum starr stapled hemorroidectomy
291,SF703R,"RECTUM, ULTRA-LOW ANTERIOR RESECTION (TOTAL MESORECTAL EXCISION) WITH/WITHOUT PLND",6C,Existing,rectum ultralow anterior resection total mesorectal excision withwithout plnd
292,SF800R,"RECTUM, FOREIGN BODY, MANUAL REMOVAL",MSP,Existing,rectum foreign body manual removal
293,SF801R,"RECTUM, HIRSCHSPRUNG'S DISEASE, ANAL SPHINCTEROTOMY",2C,Existing,rectum hirschsprung disease anal sphincterotomy
294,SF802R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTAL MYECTOMY",3B,Existing,rectum hirschsprung disease rectal myectomy
295,SF803R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTO- SIGMOIDECTOMY",5C,Existing,rectum hirschsprung disease recto sigmoidectomy
296,SF804R,"RECTUM, STRICTURE, LASER TREATMENT",1C,Existing,rectum stricture laser treatment
297,SF805R,"RECTUM, TUMOR, ANTERIOR RESECTION/ABDOMINO- PERINEAL RESECTION WITH SALPINGO-OOPHORECTOMY AND TOTAL HYSTERECTOMY",6C,Existing,rectum tumor anterior resectionabdomino perineal resection salpingooophorectomy total hysterectomy
298,SF806R,"RECTUM, TUMOR, LASER VAPORISATION/ENDOSCOPIC FULGURATION",2C,Existing,rectum tumor laser vaporisationendoscopic fulguration
299,SF807R,"RECTUM, VARIOUS LESIONS, ABDOMINO-PERINEAL PULL THROUGH RESECTION WITH COLO-ANAL ANASTOMOSIS",6B,Existing,rectum various lesion abdominoperineal pull resection coloanal anastomosis
300,SF808R,"RECTUM, VARIOUS LESIONS, HARTMANN'S PROCEDURE",5C,Existing,rectum various lesion hartmanns procedure
301,SF809R,"RECTUM, VARIOUS LESIONS, TRANSANAL REMOVAL WITH BIOPSY",4A,Existing,rectum various lesion transanal removal biopsy
302,SF700S,SACRAL NERVE STIMULATION,4B,Existing,sacral nerve stimulation
303,SF701S,"STOMACH, GASTROESOPHAGEAL REFLUX, FUNDOPLICATION, WITH/WITHOUT GASTROTOMY",5C,Descriptor change,stomach gastroesophageal reflux fundoplication withwithout gastrotomy
304,SF702S,"STOMACH, OBESITY, GASTRIC BANDING (MIS)",5C,Existing,stomach obesity gastric banding mi
305,SF703S,"STOMACH, OBESITY, SLEEVE GASTRECTOMY",5B,"Descriptor
change",stomach obesity sleeve gastrectomy
306,SF704S,"STOMACH, VARIOUS LESIONS, PERCUTANEOUS GASTROSTOMY/ JEJUNOSTOMY INSERTION (WITH OR WITHOUT IMAGE GUIDANCE)",3A,Descriptor change,stomach various lesion percutaneous gastrostomy jejunostomy insertion without image guidance
307,SF705S,"STOMACH, PARTIAL/SUBTOTAL GASTRECTOMY FOR BENIGN GASTRIC DISEASES",5C,Existing,stomach partialsubtotal gastrectomy benign gastric disease
308,SF706S,"STOMACH, VARIOUS LESIONS, TOTAL/PROXIMAL GASTRECTOMY WITH/WITHOUT SPLENECTOMY",6B,Existing,stomach various lesion totalproximal gastrectomy withwithout splenectomy
309,SF707S,"STOMACH, WEDGE RESECTION/STOMACH FOR BENIGN GASTRIC DISEASES",4A,Existing,stomach wedge resectionstomach benign gastric disease
310,SF708S,"STOMACH, PYLOROMYOTOMY, MIS",3A,Existing,stomach pyloromyotomy mi
311,SF709S,"STOMACH, TUMOUR, SUBTOTAL GASTRECTOMY AND RADICAL LYMPHADENECTOMY",6B,Existing,stomach tumour subtotal gastrectomy radical lymphadenectomy
312,SF710S,"STOMACH, TUMOUR, TOTAL GASTRECTOMY AND RADICAL LYMPHADENECTOMY",6B,Existing,stomach tumour total gastrectomy radical lymphadenectomy
313,SF711S,"STOMACH, VARIOUS LESIONS, IMAGING GUIDED INSERTION OF NASO-GASTRIC TUBE/NASO-JEJUNAL TUBE",1C,Existing,stomach various lesion imaging guided insertion nasogastric tubenasojejunal tube
314,SF712S,"STOMACH/DUODENUM, PERFORATED ULCER, REPAIR",4B,Descriptor change,stomachduodenum perforated ulcer repair
315,SF713S,"STOMACH, OBESITY, BILIOPANCREATIC DIVERSION WITH/WITHOUT DUODENAL SWITCH",5C,Existing,stomach obesity biliopancreatic diversion withwithout duodenal switch
316,SF800S,"SACRUM & COCCYX, PILONIDAL SINUS/CYST, EXCISION WITH BIOPSY",2C,Existing,sacrum coccyx pilonidal sinuscyst excision biopsy
317,SF801S,"SACRUM & COCCYX, TUMOR, EXCISION WITH BIOPSY",6B,Existing,sacrum coccyx tumor excision biopsy
318,SF803S,"STOMACH, MORBID OBESITY, BYPASS ONLY",4A,Existing,stomach morbid obesity bypass
319,SF804S,"STOMACH, MORBID OBESITY, REDUCTION AND BYPASS",5C,"Descriptor
change",stomach morbid obesity reduction bypass
320,SF805S,"STOMACH, PYLORIC STENOSIS, PYLOROPLASTY",3B,Existing,stomach pyloric stenosis pyloroplasty
321,SF806S,"STOMACH, PYLORIC TUMOR (INFANT), PYLOROPLASTY/PYLOROMYOTOMY",3A,Existing,stomach pyloric tumor infant pyloroplastypyloromyotomy
322,SF807S,"STOMACH, TUMOR OF CARDIA, ENDOSCOPIC YAG LASER SURGERY/VAPORISATION",3B,Existing,stomach tumor cardia endoscopic yag laser surgeryvaporisation
323,SF808S,"STOMACH, TUMOR/ULCER, GASTROJEJUNOSTOMY",4A,Existing,stomach tumorulcer gastrojejunostomy
324,SF809S,"STOMACH, ULCERS, VAGOTOMY - ALL TYPES",5C,Descriptor change,stomach ulcer vagotomy type
325,SF810S,"STOMACH, VARIOUS LESIONS, PARTIAL/SUBTOTAL GASTRECTOMY",5C,Existing,stomach various lesion partialsubtotal gastrectomy
326,SF811S,"STOMACH, VARIOUS LESIONS/POST-GASTRECTOMY COMPLICATIONS, REVISION GASTRECTOMY",5C,Existing,stomach various lesionspostgastrectomy complication revision gastrectomy
327,SF812S,"STOMACH, TOTAL/PROXIMAL GASTRECTOMY FOR BENIGN GASTRIC DISEASES",6B,Existing,stomach totalproximal gastrectomy benign gastric disease
328,SF813S,"STOMACH, VARIOUS LESIONS, WEDGE RESECTION",4A,Existing,stomach various lesion wedge resection
329,SF814S,"STOMACH, VARIOUS LESIONS, PERCUATNEOUS GASTROSTOMY/JEJUNOSTOMY CHANGE (WITH OR WITHOUT IMAGE GUIDANCE)",1A,New,stomach various lesion percuatneous gastrostomyjejunostomy change without image guidance
330,SF701T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE",1C,Existing,tooth uneruptedpartially eruptedimpacted surgical exposure
331,SF702T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",2C,Existing,tooth uneruptedpartially eruptedimpacted surgical exposure bonding traction assisted eruption
332,SF703T,"TEETH (2 OR MORE) UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE",2B,Existing,teeth 2 uneruptedpartially eruptedimpacted surgical exposure
333,SF704T,"TEETH (2 TO 3), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",3C,Existing,teeth 2 3 uneruptedpartially eruptedimpacted surgical exposure bonding traction assisted eruption
334,SF705T,"TEETH (4 OR MORE) UNERUPTED/ PARTIALLY ERUPTED/ IMPACTED, SURGICAL EXPOSURE AND BONDING FOR TRACTION AND ASSISTED ERUPTION",4A,Existing,teeth 4 unerupted partially erupted impacted surgical exposure bonding traction assisted eruption
335,SF706T,MIS REPAIR OF ESOPHAGEAL FISTULA AND ESOPHAGEAL ATRESIA,6B,Existing,mi repair esophageal fistula esophageal atresia
336,SF707T,"TONGUE, VARIOUS LESIONS (BENIGN CONDITION), EXCISION BIOPSY <3CM",1B,Existing,tongue various lesion benign condition excision biopsy 3cm
337,SF708T,"TOOTH (SINGLE-ROOTED), VARIOUS LESIONS, PERI- RADICULAR SURGERY",2C,Existing,tooth singlerooted various lesion peri radicular surgery
338,SF723T,"TONGUE, TRANSORAL RESECTION OF TONGUE BASE MUSCLE WITH OR WITHOUT LINGUAL TONSIL EXCISION",4C,Existing,tongue transoral resection tongue base muscle without lingual tonsil excision
339,SF800T,"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3C,Existing,teeth 2 3 impacted excision removal bone tooth division
340,SF801T,"TEETH (2 TO 3), IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",3B,Existing,teeth 2 3 impacted excision removal bone without tooth division
341,SF802T,"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",4B,Existing,teeth 4 impacted excision removal bone tooth division
342,SF803T,"TEETH (4 OR MORE), IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",4A,Existing,teeth 4 impacted excision removal bone without tooth division
343,SF804T,"TONGUE, TONGUE TIE, RELEASE",1A,Existing,tongue tongue tie release
344,SF805T,"TONGUE, TONGUE TIE, REVISION",1B,Existing,tongue tongue tie revision
345,SF806T,"TONGUE, TUMOR, GLOSSECTOMY WITH RADICAL NECK DISSECTION",6B,Existing,tongue tumor glossectomy radical neck dissection
346,SF807T,"TONGUE, TUMOR, HEMI-GLOSSECTOMY",4A,Existing,tongue tumor hemiglossectomy
347,SF808T,"TONGUE, TUMOR, TOTAL GLOSSECTOMY",4A,Existing,tongue tumor total glossectomy
348,SF809T,"TONGUE, VARIOUS LESIONS, PARTIAL EXCISION",3A,Existing,tongue various lesion partial excision
349,SF810T,"TOOTH (DEEP, I.E. COMPLETELY BURIED IN BONE), EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",3A,Existing,tooth deep ie completely buried bone excision removal bone tooth division
350,SF811T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH INCISION OF OVERLYING SOFT TISSUE AND REMOVAL OF TOOTH",MSP,Existing,tooth superficial uneruptedpartially eruptedimpacted excision incision overlying soft tissue removal tooth
351,SF812T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE (WITHOUT TOOTH DIVISION)",1B,Existing,tooth superficial uneruptedpartially eruptedimpacted excision removal bone without tooth division
352,SF813T,"TOOTH (SUPERFICIAL), UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH REMOVAL OF BONE AND TOOTH DIVISION",2C,Existing,tooth superficial uneruptedpartially eruptedimpacted excision removal bone tooth division
353,SF814T,"TOOTH, DISLOCATION, REIMPLANTATION AND TRANSPLANTATION",3A,Existing,tooth dislocation reimplantation transplantation
354,SF815T,"TOOTH, FRACTURE/DISLOCATION, REMOVAL OF ARCH BAR/DENTAL CAP SPLINT",MSP,Existing,tooth fracturedislocation removal arch bardental cap splint
355,SF816T,"TOOTH, SIMPLE UNERUPTED/PARTIALLY ERUPTED/IMPACTED/FRACTURED, REMOVAL OF MULTIPLE ROOTS",2C,Existing,tooth simple uneruptedpartially eruptedimpactedfractured removal multiple root
356,SF817T,"TOOTH, UNERUPTED/PARTIALLY ERUPTED/IMPACTED, EXCISION WITH RELEASE OF NEUROVASCULAR BUNDLE",4A,Existing,tooth uneruptedpartially eruptedimpacted excision release neurovascular bundle
357,SF818T,"TOOTH (MULTIPLE-ROOTED OR MORE THAN 1 TOOTH), VARIOUS LESIONS, PERI-RADICULAR SURGERY",3A,Existing,tooth multiplerooted 1 tooth various lesion periradicular surgery
1,SG700B,"BLADDER, CYSTOSCOPIC INTRADETRUSOR INJECTION OF BOTULINUM",2C,Existing,bladder cystoscopic intradetrusor injection botulinum
2,SG701B,"BLADDER/URETER, LYMPHOLYSIS FOR CHYLURIA, MIS",4A,Existing,bladderureter lympholysis chyluria mi
3,SG702B,"BLADDER, DIVERTICULUM, MIS EXCISION",4A,Existing,bladder diverticulum mi excision
4,SG703B,"BLADDER, VARIOUS LESIONS, IMAGE GUIDED SUPRAPUBIC CYSTOSTOMY",1C,Existing,bladder various lesion image guided suprapubic cystostomy
5,SG704B,"BLADDER, URACHAL FISTULA, MIS  EXCISION",4A,Existing,bladder urachal fistula mi excision
6,SG705B,"BLADDER, VARIOUS LESIONS, CATHETERISATION",MSP,Existing,bladder various lesion catheterisation
7,SG706B,"BLADDER, VARIOUS LESIONS, MIS PARTIAL EXCISION",4A,Existing,bladder various lesion mi partial excision
8,SG707B,"BLADDER, VARIOUS LESIONS, TOTAL RADICAL CYSTECTOMY, FOR MALIGNANCY + CREATION OF ILEAL NEOBLADDER",6C,Existing,bladder various lesion total radical cystectomy malignancy creation ileal neobladder
9,SG708B,"BLADDER, CYSTOSCOPY, EXTERNAL SPHINCTEROTOMY FOR NEUROGENIC BLADDER NECK OBSTRUCTION",2C,Existing,bladder cystoscopy external sphincterotomy neurogenic bladder neck obstruction
10,SG709B,"BLADDER, CYSTOSCOPY, REMOVAL OF FOREIGN BODY/URETERIC STENT",2B,Uptable,bladder cystoscopy removal foreign bodyureteric stent
11,SG710B,"BLADDER, CYSTOSCOPY, WITH CONTROLLED HYDRODILATATION OF THE BLADDER",1B,Existing,bladder cystoscopy controlled hydrodilatation bladder
12,SG711B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC REMOVAL/MANIPULATION OF URETERIC CALCULUS",3B,Existing,bladder cystoscopy endoscopic removalmanipulation ureteric calculus
13,SG712B,"BLADDER, CYSTOSCOPY, WITH ENDOSCOPIC RESECTION/INCISION OF BLADDER NECK",3B,Existing,bladder cystoscopy endoscopic resectionincision bladder neck
14,SG713B,"BLADDER, CYSTOSCOPY, WITH OR WITHOUT BIOPSY",1B,Existing,bladder cystoscopy without biopsy
15,SG714B,"BLADDER/URETHRA, TRANSURETHRAL RESECTION OF BLADDER TUMOUR (<3CM)",4A,Existing,bladderurethra transurethral resection bladder tumour 3cm
16,SG715B,"BLADDER/URETHRA, TRANSURETHRAL RESECTION OF BLADDER TUMOUR (>3CM)",4B,Existing,bladderurethra transurethral resection bladder tumour 3cm
17,SG716B,"BLADDER/URETER, CYSTOSCOPY, WITH URETERIC CATHETERISATION",1C,Existing,bladderureter cystoscopy ureteric catheterisation
18,SG717B,"BLADDER, CYSTOSCOPY, WITH URETERIC MEATOTOMY/WITH RESECTION OF URETEROCELE",3B,Existing,bladder cystoscopy ureteric meatotomywith resection ureterocele
