S/N,Code,Description,Table,Classification,Cleaned_Description,X,Y
318,SB804L,"LOWER LIMB, FRACTURES/DISLOCATION, MANIPULATION AND REDUCTION WITH/WITHOUT APPLICATION OF CAST",1B,Existing,lower limb fracturesdislocation manipulation reduction withwithout application cast,3.3511968,9.707774
2,SL802A,"ANTERIOR CHAMBER, VARIOUS LESIONS, VITREOUS REMOVAL",3B,Existing,anterior chamber various lesion vitreous removal,-1.4384468,10.711979
205,SB816H,"HAND, SCAR, REVISION",2C,Existing,hand scar revision,1.1021489,11.899926
185,SB728H,"HUMERUS, DELAYED/NON-UNION, RECONSTRUCTION WITH BONE GRAFTING WITHOUT INTERNAL FIXATION",4B,Existing,humerus delayednonunion reconstruction bone grafting without internal fixation,2.3674412,10.280909
135,SI703V,"VAGINA, ABDOMINAL SACROCOLPOPEXY + PARAVAGINAL DEFECT REPAIR/BURCH COLPOSUSPENSION + POSTERIOR REPAIR",5C,"Uptable, Descriptor change,",vagina abdominal sacrocolpopexy paravaginal defect repairburch colposuspension posterior repair,-3.2998857,10.460891
5,SJ801P,"PARATHYROID, VARIOUS LESIONS, RE EXPLORATION",6B,Existing,parathyroid various lesion exploration,-1.6677729,9.620487
105,SA809S,"SKIN AND SUBCUTANEOUS TISSUE, BURNS, EXCISION AND MAJOR FULL THICKNESS GRAFT",4A,Existing,skin subcutaneous tissue burn excision major full thickness graft,1.5115143,12.506596
42,SM829E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (POST- AURAL/ENDAURAL APPROACH)",4A,Existing,ear various lesion myringoplasty post auralendaural approach,-1.186455,11.688565
489,SB803T,"TENDON (UPPER LIMB), VARIOUS LESIONS, TENDON TRANSFER (SINGLE)",4A,Existing,tendon upper limb various lesion tendon transfer single,4.2415237,9.231521
149,SI719V,"VULVA, MALIGNANT CONDITION, RADICAL WIDE LOCAL EXCISION",3C,Descriptor change,vulva malignant condition radical wide local excision,-2.398916,9.769779
71,SC820T,"THORAX, VARIOUS LESIONS, CHEST TOILET/ IRRIGATION/ DELAYED CLOSURE",1C,New,thorax various lesion chest toilet irrigation delayed closure,0.51342535,10.380694
163,SF800G,"GALLBLADDER, VARIOUS LESIONS, CHOLECYSTOSTOMY",3B,Descriptor change,gallbladder various lesion cholecystostomy,-4.2787304,7.9509416
63,SA704R,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (SINGLE CHANNEL): ENDOMETRIUM, OTHERS",2A,Existing,radiotherapy intracavitary brachytherapy single channel endometrium others,-0.6331167,11.58438
228,SF800M,"MOUTH, ABSCESS (DEEP), DRAINAGE OF 1 SPACE (INCLUDES SUBMASSETERIC, SUBMANDIBULAR, TEMPORAL, AND PTERYGOMANDIBULAR SPACES)",2B,Descriptor change,mouth abscess deep drainage 1 space includes submasseteric submandibular temporal pterygomandibular space,0.66792256,14.126646
26,SD725A,"ARTERY, VARIOUS LESIONS, DIAGNOSTIC ANGIOGRAM OF MULTIPLE VESSELS",3A,Existing,artery various lesion diagnostic angiogram multiple vessel,0.17117378,9.791487
9,SK708A,"ARTERY, INTRACRANIAL, THROMBOSIS, PERCUTANEOUS CATHETER DIRECTED THROMBOLYSIS/THROMBECTOMY",6B,Existing,artery intracranial thrombosis percutaneous catheter directed thrombolysisthrombectomy,0.4679432,9.692699
185,SF703L,"LIVER, ABSCESS, IMAGING GUIDED PERCUTANEOUS ASPIRATION",2A,Existing,liver abscess imaging guided percutaneous aspiration,-1.1425898,9.729319
24,SB709B,"BONE, VARIOUS LESIONS, OPEN BIOPSY, CEMENTING/PLATE FIXATION",1B,Existing,bone various lesion open biopsy cementingplate fixation,-0.56774074,10.239323
146,SA850S,"SKIN AND SUBCUTANEOUS TISSUE, SINUS (DEEP>3CM), EXCISION WITH/WITHOUT BIOPSY",2B,Existing,skin subcutaneous tissue sinus deep3cm excision withwithout biopsy,0.638791,12.017917
11,SF712A,"ANAL INCONTINENCE, COMPLEX PROCEDURES INCLUDING MUSCLE TRANSPOSITION",5C,Existing,anal incontinence complex procedure including muscle transposition,0.20414944,8.35425
174,SB717H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (SINGLE), NON-JOINT",3B,Existing,hand open fracture debridement orif single nonjoint,2.127103,10.840887
107,SK743N,"NEUROSTIMULATOR, REVISION/REPLACEMENT OF IMPLANTABLE PULSE GENERATOR (DOES NOT INVOLVE TUNNELING)",3B,Existing,neurostimulator revisionreplacement implantable pulse generator involve tunneling,0.72930276,6.4019146
65,SF845A,"ANUS, TUMOR, ABDOMINO-PERINEAL RESECTION",6B,Descriptor change,anus tumor abdominoperineal resection,-1.1717093,6.5073056
50,SM837E,"EAR, VARIOUS LESIONS, MIDDLE FOSSA EXTRA-DURAL APPROACH TO TEMPORAL BONE WITH/WITHOUT TRANSMASTOID APPROACH COMBINED ACCESS",6B,Existing,ear various lesion middle fossa extradural approach temporal bone withwithout transmastoid approach combined access,-1.0404627,11.774427
8,SL819B,"BIOPSY: CORNEAL, LIMBAL, ORAL, CONJUNCTIVA",1B,Existing,biopsy corneal limbal oral conjunctiva,-2.063947,11.135941
197,SF802L,"LIP, VARIOUS LESIONS, RECONSTRUCTION USING FULL THICKNESS FLAP",5C,Existing,lip various lesion reconstruction using full thickness flap,-0.24111718,11.473624
188,SF706L,"LIVER, TUMOUR, IMAGING GUIDED PERCUTANEOUS LOCAL ABLATION, SIMPLE (RADIOFREQUENCY, CRYOTHERAPY, MICROWAVE, LASER, ALCOHOL, ETC)",3C,Existing,liver tumour imaging guided percutaneous local ablation simple radiofrequency cryotherapy microwave laser alcohol etc,-1.7674112,15.872399
76,SL821E,"EYELIDS, ECTROPION, RETROPUNCTAL CAUTERY",MSP,Existing,eyelid ectropion retropunctal cautery,-2.2329047,12.227008
158,SL702R,"RETINA, ROP (RETINOPATHY OF PREMATURITY) LASER PHOTOCOAGULATION",3C,Existing,retina rop retinopathy prematurity laser photocoagulation,-1.9921743,11.738788
10,SA710B,"BREAST, VARIOUS LESIONS, TRUCUT BIOPSY, ULTRASOUND GUIDED OR STEREOTACTIC (SINGLE)",1B,Existing,breast various lesion trucut biopsy ultrasound guided stereotactic single,-0.63712907,10.95029
250,SB716J,"JOINTS (UPPER LIMB), VASCULAR INJURY, MAJOR VASCULAR RECONSTRUCTION/ANASTOMOSIS/GRAFT",5A,Existing,joint upper limb vascular injury major vascular reconstructionanastomosisgraft,1.0010926,8.840194
509,SB823T,"THUMB, DEFORMITIES, CORRECTION",4A,Existing,thumb deformity correction,0.96363944,10.812283
56,SB828B,"BONE (UPPER LIMB), TUMOR (MALIGNANT), RADICAL EXCISION WITH RECONSTRUCTION/INTERNAL FIXATION",6B,Existing,bone upper limb tumor malignant radical excision reconstructioninternal fixation,3.0934582,10.984726
56,SD814A,"ARTERY (TRUNK), EMBOLISM, EMBOLECTOMY",4A,Existing,artery trunk embolism embolectomy,0.35398588,9.704441
53,SH804S,"SPERMATIC CORD, VARIOUS LESIONS, EPIDIDYMECTOMY",2A,Existing,spermatic cord various lesion epididymectomy,-2.0631688,10.173779
190,SB801H,"HAND, CLOSED FRACTURE/DISLOCATION, OPEN REDUCTION AND FIXATION (SINGLE)",2C,Existing,hand closed fracturedislocation open reduction fixation single,1.3614614,5.3602285
158,SI807V,"VAGINA, INCARCERATED PESSARY, REMOVAL",2B,Existing,vagina incarcerated pessary removal,-2.689511,10.403673
53,SM700I,INFERIOR TURBINATE REDUCTION (SUBMUCOUS DIATHERMY/RADIOFREQUENCY),1C,Existing,inferior turbinate reduction submucous diathermyradiofrequency,-0.12041156,10.192116
17,SH805P,"PENIS, HYPOSPADIAS, SECONDARY CORRECTION",2C,Existing,penis hypospadias secondary correction,-2.8275623,8.85691
82,SD706B,"BLOOD VESSELS, SUBCUTANEOUS IMPLANTED VASCULAR PORT, INSERTION",2C,Existing,blood vessel subcutaneous implanted vascular port insertion,1.063465,8.6607065
98,SD714H,"HEART, PRIMARY PERCUTANEOUS CORONARY INTERVENTION (PCI) FOR ST-ELEVATION MYOCARDIAL INFARCTION",4B,Descriptor change,heart primary percutaneous coronary intervention pci stelevation myocardial infarction,0.75354713,7.11214
552,SB713W,"WRIST, VARIOUS LESIONS, PRIMARY TOTAL JOINT ARTHROPLASTY WITH AUGMENTATION, REQUIRING EXTRA IMPLANTS OR BONE GRAFTS",6B,Descriptor change,wrist various lesion primary total joint arthroplasty augmentation requiring extra implant bone graft,3.9817967,6.6408434
154,SI803V,"VAGINA, ENTEROCOELE, REPAIR + VAGINAL VAULT SUSPENSION (ABDOMINAL)",5A,"Descriptor
change",vagina enterocoele repair vaginal vault suspension abdominal,-3.1766021,10.426884
261,SB807J,"JOINTS (LOWER LIMB), DEFORMITIES, CORRECTIVE SURGERY WITH OSTEOTOMY ALONE",4A,Existing,joint lower limb deformity corrective surgery osteotomy alone,2.84291,10.065648
95,SI801U,"URETHRA, STENOSIS, DILATATION",1A,Existing,urethra stenosis dilatation,-1.103197,8.960006
147,SF808E,"ESOPHAGUS/STOMACH, GASTROSCOPY WITH THERAPY EG. APC-FULGARISATION OF TUMOR",3A,Existing,esophagusstomach gastroscopy therapy eg apcfulgarisation tumor,-2.9609325,10.700129
91,SF718B,"BOWELS, ENDOSCOPIC ULTRASOUND WITHOUT FINE NEEDLE ASPIRATION",2C,Existing,bowel endoscopic ultrasound without fine needle aspiration,-0.38418537,10.507739
132,SD813H,"HEART, CORONARY ARTERY BYPASS GRAFT AND VALVE SURGERY",7C,Existing,heart coronary artery bypass graft valve surgery,0.81239426,7.3329945
302,SB717K,"KNEE, VARIOUS LESIONS, REVISION TOTAL JOINT REPLACEMENT",6C,Descriptor change,knee various lesion revision total joint replacement,3.7477243,6.94479
540,SB701W,"WRIST, AVASCULAR NECROSIS, RADIAL RECESSION/ULNAR LENGTHENING,",4C,Existing,wrist avascular necrosis radial recessionulnar lengthening,2.4289215,8.379661
41,SA827B,"BREAST, TUMOR (MALIGNANT, VARIOUS LESIONS), SIMPLE MASTECTOMY WITH SENTINEL NODE BIOPSY/ AXILLARY NODE SAMPLING",4C,Descriptor change,breast tumor malignant various lesion simple mastectomy sentinel node biopsy axillary node sampling,3.1496954,13.653032
42,SD800A,"AORTA, ABDOMINAL AORTIC ANEURYSM, EXCISION AND INSERTION OF GRAFT",6B,Existing,aorta abdominal aortic aneurysm excision insertion graft,1.7124274,7.4159575
532,SB804U,"UPPER LIMB, TRAUMA, MAJOR REPLANTATION",7B,Existing,upper limb trauma major replantation,1.3182089,10.013895
340,SB712M,"MAXILLA, VARIOUS LESIONS, RESECTION WITH RECONSTRUCTION",6B,Existing,maxilla various lesion resection reconstruction,1.7622558,9.573981
124,SF807C,"COLON, COLONOSCOPY WITH ENDOSCOPIC SUBMUCOSAL DISSECTION (ESD) OF LARGE POLYPS (>3CM)",4A,Existing,colon colonoscopy endoscopic submucosal dissection esd large polyp 3cm,-0.37367573,7.127136
262,SF707P,"PANCREAS, VARIOUS LESIONS, IMAGING GUIDED PERCUTANEOUS BIOPSY",2A,Existing,pancreas various lesion imaging guided percutaneous biopsy,-1.1969811,9.907311
498,SB812T,"TENDON-EXTENSOR (UPPER LIMB), INJURY, REPAIR (MULTIPLE)",3A,Existing,tendonextensor upper limb injury repair multiple,4.4467726,8.327558
141,SI711V,"VAGINA/RECTUM, RECTO VAGINAL FISTULA, COMPLEX RECTAL/TRANSPERINEAL APPROACH WITH COLOSTOMY",5B,Existing,vaginarectum recto vaginal fistula complex rectaltransperineal approach colostomy,-3.0492296,10.497
65,SK701L,"LUMBAR PLEXUS, BLOCK, CATHETER",1C,Existing,lumbar plexus block catheter,2.8373628,16.032164
43,SM830E,"EAR, VARIOUS LESIONS, MYRINGOPLASTY (SIMPLE)",3B,Existing,ear various lesion myringoplasty simple,-1.1857905,11.542653
294,SF802R,"RECTUM, HIRSCHSPRUNG'S DISEASE, RECTAL MYECTOMY",3B,Existing,rectum hirschsprung disease rectal myectomy,-0.93126625,7.7369237
68,SF848A,"APPENDIX, TUMOR, RIGHT HEMICOLECTOMY WITH/WITHOUT ADHESIOLYSIS",5C,Descriptor change,appendix tumor right hemicolectomy withwithout adhesiolysis,0.33713418,10.225778
205,SD800Z,ORGAN PROCUREMENT COSTS: HEART,4B,Existing,organ procurement cost heart,1.2187413,8.84025
173,SB716H,"HAND, OPEN FRACTURE, DEBRIDEMENT AND ORIF (SINGLE), JOINT",4A,Existing,hand open fracture debridement orif single joint,2.1196544,10.839412
468,SB807S,"CERVICAL SPINE, CLOSED REDUCTION WITH APPLICATION OF SKULL DEVICES BUT WITHOUT OTHER PROCEDURES",1A,Existing,cervical spine closed reduction application skull device without procedure,-2.5460157,5.580438
354,SF815T,"TOOTH, FRACTURE/DISLOCATION, REMOVAL OF ARCH BAR/DENTAL CAP SPLINT",MSP,Existing,tooth fracturedislocation removal arch bardental cap splint,-0.39773923,8.929839
28,SL809C,"CORNEA, MYOPIA, PHOTOTHERAPEUTIC KERATECTOMY/LASER IN-SITU KERATOMILEUSIS",3A,Existing,cornea myopia phototherapeutic keratectomylaser insitu keratomileusis,-1.9198885,10.926266
158,SB701H,"HAND AND WRIST, RHEUMATOID HAND RECONSTRUCTION INCLUDING MULTIPLE JOINT SYNOVECTOMY, BONE/JOINT PROCEDURES WITH ARTHROPLASTY (MULTIPLE) AND SOFT TISSUE PROCEDURES",6C,Existing,hand wrist rheumatoid hand reconstruction including multiple joint synovectomy bonejoint procedure arthroplasty multiple soft tissue procedure,2.1615152,10.92076
141,SD822H,"HEART, PULMONARY INCOMPETENCE, PULMONARY ARTERY BANDING",4A,Existing,heart pulmonary incompetence pulmonary artery banding,1.0030128,8.883246
28,SC702T,"THORAX, EVACUATION OF RETAINED HAEMOTHORAX",4A,Descriptor change,thorax evacuation retained haemothorax,1.4802029,9.202409
536,SB808U,"UPPER LIMB/LOWER LIMB, OPEN/CLOSED REDUCTION AND DEFINITIVE FIXATION WITH RING EXTERNAL FIXATION WITH/WITHOUT WOUND DEBRIDEMENT",5A,New,upper limblower limb openclosed reduction definitive fixation ring external fixation withwithout wound debridement,3.066957,9.62709
276,SF806P,"PANCREAS, TUMOUR, TRIPLE BYPASS",5C,Existing,pancreas tumour triple bypass,0.33233982,9.1625
3,SE702L,"LYMPH NODE (CERVICAL), DEEP, VARIOUS LESIONS, BIOPSY",2C,Existing,lymph node cervical deep various lesion biopsy,2.7504122,14.3017025
144,SD825H,"HEART, VARIOUS LESIONS, OPEN HEART SURGERY ON COMBINED SURGERY, TWO PROCEDURES AT ONE SITTING",7B,Existing,heart various lesion open heart surgery combined surgery two procedure one sitting,0.5097701,6.6145816
271,SB818J,"JOINTS (OTHER THAN HAND AND WRIST), VARIOUS LESIONS, ARTHRODESIS",5C,Existing,joint hand wrist various lesion arthrodesis,3.4522545,7.7311034
199,SK701V,"VEIN, INTRACRANIAL, VENOUS SAMPLING",3B,Existing,vein intracranial venous sampling,-0.41614586,9.792678
13,SM712E,"EAR (MIDDLE), MIDDLE EAR IMPLANT SURGERY",5B,Existing,ear middle middle ear implant surgery,-0.81640404,12.256014
166,SL804R,"RETINA, TEARS, CRYOTHERAPY OR PHOTOCOAGULATION (LASER) (BILATERAL)",3C,Existing,retina tear cryotherapy photocoagulation laser bilateral,-1.9726566,11.758342
319,SF804S,"STOMACH, MORBID OBESITY, REDUCTION AND BYPASS",5C,"Descriptor
change",stomach morbid obesity reduction bypass,-0.569115,8.595376
102,SG803U,"URETER, PREVIOUS DIVERSION, REVISION",6A,Existing,ureter previous diversion revision,-4.5315247,9.274393
128,SI842U,"UTERUS, VARIOUS LESIONS, CURETTAGE WITH COLPOSCOPY/BIOPSY/DIATHERMY/ CRYOSURGERY/LASER THERAPY OF CERVIX",2C,Existing,uterus various lesion curettage colposcopybiopsydiathermy cryosurgerylaser therapy cervix,-3.025661,10.495606
26,SL807C,"CORNEA, LACERATION, CONJUNCTIVAL GRAFT OVER CORNEA",2C,Existing,cornea laceration conjunctival graft cornea,-1.9648224,10.982096
115,SG816U,"URETHRA, INJURY, REPAIR/URETHROPLASTY OF ANTERIOR URETHRA",4A,Existing,urethra injury repairurethroplasty anterior urethra,-4.349651,10.448407
251,SF823M,"MOUTH, VARIOUS LESIONS OF ORAL MUCOSA (LARGE/MULTIPLE), CRYOSURGICAL/LASER APPLICATION WITH BIOPSY",3B,Existing,mouth various lesion oral mucosa largemultiple cryosurgicallaser application biopsy,-0.042713646,12.646422
20,SM806E,"EAR, DEFORMITY, COMPOSITE GRAFT",4A,Existing,ear deformity composite graft,-0.637668,11.351486
4,SL701B,"BROW, BROWLIFT, ENDOSCOPIC, BILATERAL WITH MID- FACE LIFT",5C,Existing,brow browlift endoscopic bilateral mid face lift,-0.67752486,10.663574
348,SF809T,"TONGUE, VARIOUS LESIONS, PARTIAL EXCISION",3A,Existing,tongue various lesion partial excision,-0.637812,13.203035
30,SG809B,"BLADDER, TUMOR, ANTERIOR EXENTERATION (FEMALE)",6B,Existing,bladder tumor anterior exenteration female,-2.0906327,8.465154
121,SG823U,"URETHRA, VALVES/MEMBRANE, RESECTION (ENDOSCOPIC)",3B,Existing,urethra valvesmembrane resection endoscopic,-4.2655725,10.406635
111,SK747N,"NERVE-FACIAL PARALYSIS, FREE MUSCLE FLAP (MICROSURGICAL – STAGE 2)",7B,Existing,nervefacial paralysis free muscle flap microsurgical stage 2,-1.8774873,9.659051
173,SF706I,"INTESTINE, SMALL BOWEL, VARIOUS LESIONS, EXTENSIVE RESECTION WITH ANASTOMOSES, WITH OR WITHOUT STOMA",4C,Descriptor change,intestine small bowel various lesion extensive resection anastomosis without stoma,-0.5438149,7.55215
62,SI702P,"PELVIS, FROZEN/DENSE PELVIC ADHESIONS, CONSERVATIVE RECONSTRUCTION OF OVARIES, TUBES, UTERUS, PELVIC FLOOR",5A,Existing,pelvis frozendense pelvic adhesion conservative reconstruction ovary tube uterus pelvic floor,-2.1688054,9.528596
175,SF708I,"INTESTINE, SMALL BOWEL, VITELLO-INTESTINAL FISTULA, EXCISION",3A,Existing,intestine small bowel vitellointestinal fistula excision,-0.4633692,7.44187
81,SM804M,"MASTOID, VARIOUS LESIONS, REVISION MASTOIDECTOMY",4B,Existing,mastoid various lesion revision mastoidectomy,-1.3482167,11.814321
155,SL701P,PHOTOREFRACTIVE KERATECTOMY/PHOTOTHERAPEUTIC KERATECTOMY (FOR DISEASED EYE),3B,Existing,photorefractive keratectomyphototherapeutic keratectomy diseased eye,7.0525274,8.205074
159,SF706G,GALLBLADDER (COMPLICATED) CHOLECYESTECTOMY (PARTIAL/TOTAL),4C,Descriptor change,gallbladder complicated cholecyestectomy partialtotal,-4.263075,7.995101
59,SD817A,"ARTERY, ARTERIO-VENOUS FISTULA, DISSECTION AND REPAIR WITH RESTORATION OF CONTINUITY",5A,Existing,artery arteriovenous fistula dissection repair restoration continuity,1.5601916,6.407372
80,SA716S,"SOFT TISSUE (LOWER LIMB), TUMORS (BENIGN), WIDE EXCISION BIOPSY",4A,Existing,soft tissue lower limb tumor benign wide excision biopsy,2.9350681,11.218282
95,SF801B,"BILE DUCT, VARIOUS LESIONS, CHOLEDOCHO- DUODENOSTOMY/CHOLEDOCHO-GASTROSTOMY",4A,Existing,bile duct various lesion choledocho duodenostomycholedochogastrostomy,-3.862501,7.53668
59,SC808T,"THORAX, VARIOUS LESIONS, INTRATHORACIC OPERATION ON LUNGS/BRONCHIAL TREE/MEDIASTINUM",4A,Existing,thorax various lesion intrathoracic operation lungsbronchial treemediastinum,1.5171671,9.160453
117,SI831U,"UTERUS, PERFORATION, REPAIR",3C,Existing,uterus perforation repair,-4.1864314,12.039286
472,SB819S,"SPINE (EXCLUDING CERVICAL SPINE), VARIOUS LESIONS - INTERBODY FUSION (THREE OR MORE SEGMENTS) WITHOUT ANTERIOR/POSTERIOR INSTRUMENTATION",7A,New,spine excluding cervical spine various lesion interbody fusion three segment without anteriorposterior instrumentation,-2.72955,5.1337485
31,SL700E,"EYE, GLAUCOMA, FILTERING AND ALLIED OPERATIONS (INCLUDING TRABECULECTOMY / SCLERECTOMY) WITH ANTI-METABOLITES",4A,Existing,eye glaucoma filtering allied operation including trabeculectomy sclerectomy antimetabolite,7.250164,8.023747
77,SK709N,"NERVE (OROFACIAL), INJURY, DECOMPRESSION (MULTIPLE/SINGLE INTRAOSSEOUS)",4A,Existing,nerve orofacial injury decompression multiplesingle intraosseous,4.575843,7.991635
58,SA805M,"MUSCLE AND DEEP TISSUE, FOREIGN BODY, REMOVAL",2C,Existing,muscle deep tissue foreign body removal,5.1428185,11.056489
134,SA838S,"SKIN AND SUBCUTANEOUS TISSUE, ARTERIOVENOUS MALFORMATION/HEMANGIOMA/LYMPHANGIOMA >3CM EXCLUDING FACE, HANDS, GENITALIA, EXCISION",3A,Existing,skin subcutaneous tissue arteriovenous malformationhemangiomalymphangioma 3cm excluding face hand genitalia excision,0.81672657,11.825471
63,SF843A,"ANUS, STRICTURE, REPAIR",3B,Existing,anus stricture repair,-1.0747535,6.4984665
107,SD725H,"HEART, PLACEMENT OF EPICARDIAL PACING WIRES",5A,Descriptor change,heart placement epicardial pacing wire,0.518253,10.139286
102,SD719H,"HEART, OPEN HEART SURGERY, IMPLANTATION OF MECHANICAL HEART DEVICE (LEFT AND/OR RIGHT VENTRICULAR ASSIST DEVICE IMPLANT)",7C,Descriptor change,heart open heart surgery implantation mechanical heart device left andor right ventricular assist device implant,0.54467034,6.70757
68,SC817T,"TRACHEA, VARIOUS LESIONS, WITH/WITHOUT IMAGE GUIDED (E.G. BRONCHOSCOPY), CREATION OF TRACHEOSTOMY",2C,Descriptor change,trachea various lesion withwithout image guided eg bronchoscopy creation tracheostomy,0.66342735,10.545377
355,SF816T,"TOOTH, SIMPLE UNERUPTED/PARTIALLY ERUPTED/IMPACTED/FRACTURED, REMOVAL OF MULTIPLE ROOTS",2C,Existing,tooth simple uneruptedpartially eruptedimpactedfractured removal multiple root,-0.42921567,8.940154
60,SM707L,"LARYNX, LARYNOGOFISSURE, EXTERNAL OPERATION",5C,Existing,larynx larynogofissure external operation,-0.18684857,12.607998
97,SG711U,"URETHRA, EXCISION OF URETHRAL DIVERTICULUM",4A,Existing,urethra excision urethral diverticulum,-0.8008255,8.448115
137,SF704E,"ESOPHAGUS/STOMACH/COLON, GASTROINTESTINAL ENDOSCOPY, ABLATIVE TREATMENT",3A,Existing,esophagusstomachcolon gastrointestinal endoscopy ablative treatment,0.584238,9.169589
305,SB802K,"KNEE, HEMARTHROSIS, ASPIRATION UNDER GENERAL ANESTHESIA",1A,Existing,knee hemarthrosis aspiration general anesthesia,-1.5198797,9.989252
121,SM703S,"SINUSES, NASAL, INFECTION, FUNCTIONAL SINUSCOPIC ETHMOIDECTOMY (BILATERAL)",5A,Existing,sinus nasal infection functional sinuscopic ethmoidectomy bilateral,4.4519854,12.229881
148,SB830F,"FOOT, CRUSH INJURIES (COMPLEX), WOUND DEBRIDEMENT",3B,Existing,foot crush injury complex wound debridement,2.768655,10.881248
187,SB730H,"HUMERUS, HUMERUS SHAFT FRACTURE, COMPLEX MULTI-FRAGMENTARY INTRAMEDULLARY NAIL",4C,Existing,humerus humerus shaft fracture complex multifragmentary intramedullary nail,2.2818048,10.185751
198,SD812V,"VEIN, VARIOUS LESIONS, INTRA-ARTERIAL INFUSION OF ARTERIES OF NECK/THORAX/ABDOMEN",3A,Existing,vein various lesion intraarterial infusion artery neckthoraxabdomen,0.32658887,9.430691
